Nome;Idade;Peso (kg);Altura (m)
Luigi Novaes;25/04/1910;113.65;1.65
Maysa da Mota;24/01/1957;47.99;1.68
Gabrielly Costela;19/11/2014;72.5;1.73
Vinicius Monteiro;19/10/1921;49.76;1.42
Yago Silva;11/02/1982;61.94;1.5
J£lia Monteiro;02/06/2000;97.1;2.07
Gustavo Duarte;25/06/1973;119.04;1.86
Levi Cunha;16/06/1999;55.41;1.51
Luiz Henrique Lima;01/05/2014;84.67;2.01
Dra. Eloah Mendes;01/11/1988;52.82;1.94
Enzo Gabriel das Neves;17/07/1968;99.82;1.77
Rebeca Novaes;18/11/1909;112;1.53
Diogo Silveira;07/03/2021;84.07;1.86
Ben°cio Fogaáa;10/01/1944;108.2;1.46
Vinicius Silveira;28/08/1936;120.76;1.83
Enrico Cavalcanti;27/12/1932;107.35;1.88
Kamilly Martins;21/01/1951;127.22;1.66
Catarina da Luz;04/04/1995;147.17;1.97
Let°cia Gonáalves;09/09/1976;114.65;1.92
Luigi Ara£jo;01/05/1985;141.52;1.85
Ana Clara Moreira;11/05/1901;40.21;1.47
Maità Cavalcanti;07/11/1984;72.32;1.95
Cau∆ da Costa;05/04/2017;118.79;2.05
Pietra Ramos;27/08/1945;142.78;1.93
Vitor Gabriel Azevedo;02/10/1918;60.89;2.09
Thales Silveira;22/11/1903;114.57;1.7
Ana Luiza Teixeira;29/09/1949;135.86;1.57
Gabriel Teixeira;31/03/1973;115.49;1.69
Marcela Oliveira;29/07/1997;40.86;1.84
Erick Carvalho;18/08/1971;133.35;1.46
Joaquim Vieira;04/03/1913;87.1;1.46
Bryan das Neves;14/09/1987;70.99;2.08
Milena Lima;04/04/1988;109.69;1.81
Joaquim Viana;06/12/1980;100.41;1.75
Alexia Lima;26/06/2008;148.03;1.62
Dra. Fernanda das Neves;05/02/1961;83.04;2.02
Luiz Felipe Moraes;06/02/2019;140.53;1.46
Calebe Costela;14/03/1975;56.77;1.78
Leonardo da Cunha;09/06/2019;56.85;1.88
Ben°cio Melo;05/08/1937;113.16;1.49
Emilly Sales;27/09/2003;111.55;1.98
Igor Moraes;26/01/2009;99.76;2.03
Alexandre Sales;03/04/2014;65.3;2.1
Rebeca Viana;06/04/1917;64.79;1.75
Alana Peixoto;23/12/2002;73.92;2.06
Gabriela Pereira;23/09/1943;116.68;1.54
Stephany Peixoto;09/06/1928;54.98;1.9
Mariana da Cruz;25/06/1953;129.89;2.1
Jo∆o Guilherme Mendes;07/05/1930;68.91;1.9
Alana Gonáalves;23/10/1983;135.74;1.41
Alana Gomes;18/03/1970;125.63;1.41
Maria Clara da Paz;15/07/1928;103.07;1.53
Fernanda Rodrigues;19/10/1956;134.11;2.05
Mariane Arag∆o;27/10/1915;74.8;1.76
Enzo Barbosa;04/03/1932;118.24;1.71
Marcelo Castro;29/05/1983;120.07;1.76
Enzo Gabriel Nunes;03/12/1922;80.45;1.77
Maria Luiza Campos;29/09/2014;44;1.75
Rebeca Jesus;08/08/1967;57.47;1.87
Ana Sophia Arag∆o;29/05/1967;51.15;1.77
Bruno Pires;08/03/2022;48.43;1.97
Bruna Vieira;28/04/1920;103.88;1.45
Srta. Maità Azevedo;19/06/1936;84.99;1.42
Levi Gonáalves;29/12/2023;108.67;1.94
Vitor da Luz;05/11/1900;79.9;1.56
Marina Fogaáa;30/07/1993;84.28;1.48
Matheus Dias;18/03/1939;65.08;1.7
Camila Dias;23/03/1920;116.14;1.69
Clara Ribeiro;01/10/1977;74.77;1.97
Bruno Teixeira;23/01/1929;92.3;1.72
Juliana da Cruz;14/05/2014;110.68;1.66
Nicole Correia;29/07/1971;132.67;1.73
Eduardo Nascimento;02/08/1958;61.6;1.65
Lucca da Cunha;09/09/1991;75.45;1.7
Julia Azevedo;28/07/1990;48.69;1.8
Eduardo Moreira;16/06/1946;41.42;1.99
Luiz Ot†vio Oliveira;05/03/1996;144.06;1.76
Enzo Gabriel da Costa;20/04/1995;93.45;2.04
Helena Costela;19/03/2009;86.66;1.48
Lara Lima;04/06/1915;62.61;1.43
Breno Lopes;22/12/1915;76.97;1.51
Sra. Emilly Souza;04/01/1926;65.39;1.79
Alexandre Mendes;20/02/1941;89.95;1.84
Lucas Lima;12/07/1921;56.48;1.89
Ana Julia Santos;19/09/1915;81.47;1.76
Sra. Lorena Rezende;17/10/1985;51.83;1.41
Joaquim Castro;10/12/2009;141.84;2.05
Carlos Eduardo Novaes;29/07/1979;76.45;1.44
Augusto Almeida;03/11/1917;145.06;1.61
Clarice Caldeira;26/08/2000;75.55;1.4
Sophie Almeida;04/04/1998;133.75;2.06
Lucca Ribeiro;16/12/1935;89.35;1.57
Stella Santos;22/09/1966;118.51;1.85
Srta. Clarice da Conceiá∆o;01/04/1996;125.29;2
Ian Melo;24/10/1996;96.6;1.5
Daniel Teixeira;24/10/1938;82.98;1.65
Maità Lima;19/02/1917;145.76;1.87
Srta. Elisa Rezende;08/01/1908;99.91;1.56
Gabriel Gonáalves;25/03/1902;45.9;1.89
Alexia Barbosa;28/03/1909;66.72;1.63
Emilly Barbosa;03/02/1953;66.91;1.63
Elisa Barros;20/06/1940;90.5;1.5
Amanda Jesus;19/03/1981;79.96;1.61
Luiz Ot†vio Moura;03/05/2018;105.27;2
Dra. Milena da Rosa;11/12/1997;43.8;1.98
Davi Castro;03/12/1930;87.03;1.88
Danilo das Neves;24/06/1950;73.07;1.71
Camila Dias;31/12/1993;99.06;1.5
Ana J£lia Costa;03/11/2002;126.42;1.46
Vitor Gabriel Pereira;23/12/2019;94.56;2.07
Jo∆o Guilherme Ara£jo;03/03/1974;64.85;1.66
Bryan Barbosa;02/08/1955;144.12;1.59
Noah Moraes;12/05/1942;72.06;2.07
Alexandre Souza;31/07/2012;122.72;1.5
Emanuella Silva;06/06/1943;48.77;1.94
Isabella Lopes;05/05/1956;90.55;1.77
Mariane Silva;07/01/1921;45.38;1.85
Stella da Cunha;06/04/1990;135.63;1.43
Luiz Ot†vio Peixoto;08/10/2008;127.96;2.02
Luiza das Neves;20/10/2020;67.75;1.95
Rafael Gonáalves;14/06/1991;129.52;1.47
Clarice Carvalho;24/10/1921;70.44;2
Maria Fernanda da Rosa;25/08/1999;51.56;1.77
Davi Lucas Costa;17/02/1920;89.94;1.52
Felipe Dias;27/01/1908;66.78;1.48
Yasmin Alves;16/11/1962;47.25;1.61
Maria Julia Ferreira;02/12/2006;74.64;1.88
Helena Mendes;18/06/1977;58.93;1.66
Felipe da Conceiá∆o;07/03/1978;139.08;1.89
Sabrina Viana;13/12/2003;111.32;1.74
Fernanda Campos;18/12/1976;140.71;1.41
Heitor Fogaáa;27/10/1980;81.08;1.72
Milena da Mota;09/07/1973;89.25;1.45
Alice Castro;23/02/1978;104.79;1.72
Ana Laura Monteiro;06/02/2005;114.43;2.01
Luiz Henrique Peixoto;06/07/1926;97.13;1.93
Arthur Gomes;20/01/2011;120.63;2.08
Let°cia da Conceiá∆o;07/05/2022;48.78;1.62
Luiz Henrique Arag∆o;08/07/1903;101.45;1.81
Alice Fogaáa;06/03/1944;49.83;1.94
Marcela Monteiro;29/05/1901;43.05;1.96
Davi Luiz Souza;23/04/1992;40.43;1.69
Pedro Lucas Mendes;25/10/1903;99.65;1.61
Diego Silva;31/07/1911;142.5;1.43
Dra. Beatriz Cardoso;27/03/2015;148.37;1.56
Enzo da Rosa;08/04/1915;61.77;1.91
Lucca Correia;08/06/1956;116.27;2.08
Yuri Dias;26/09/1991;69.22;1.77
Ana Viana;08/03/1917;68.9;1.73
Marcelo Fogaáa;09/01/1942;44.05;2.02
Srta. Lorena Nogueira;04/10/1948;63.55;1.48
Mirella Ara£jo;23/10/1953;133.91;1.47
Vitor Gabriel Farias;15/10/1983;67.07;1.75
Alana da Paz;27/07/1950;61.56;2.02
Srta. Maria Fernanda da Rocha;04/03/1928;149.88;1.56
Stephany Fogaáa;13/09/1928;139.25;1.67
Bruno Sales;29/10/1983;67.02;1.89
Ana Beatriz da Conceiá∆o;03/08/1970;104.64;2.07
Breno Silveira;21/05/1989;88.45;1.67
Jo∆o Gabriel da Conceiá∆o;03/03/1925;97.57;1.66
Clarice Nascimento;06/02/1937;95.43;2.08
Dra. La°s Melo;20/11/1921;143.53;1.45
Theo da Cruz;20/04/1983;141.94;2.05
Thiago da Cruz;06/11/1956;129.74;1.97
Sra. Luana Costela;05/10/1986;107.43;1.8
Rafael Sales;23/04/1946;49.49;1.92
Maria da Mota;15/06/1938;64.82;1.93
Miguel Costa;16/11/1932;45.3;1.72
Gustavo Nogueira;18/01/2014;136.83;1.49
Jo∆o Moreira;30/04/1965;44.51;2.05
Manuela Duarte;15/01/1946;144.58;1.6
Jo∆o Pedro Ara£jo;22/07/2000;40.03;1.84
Maria Cec°lia Oliveira;18/03/1956;88.49;1.98
Gabriel da Luz;10/05/1936;146.22;1.42
Luigi Alves;26/09/1910;143.26;1.99
Rebeca da Luz;22/06/1944;61.59;1.74
J£lia da Mota;20/04/1969;62.19;1.74
Alexandre Lopes;26/07/1929;56.02;1.4
Julia Fernandes;18/10/1922;110.31;1.48
Vit¢ria da Rocha;24/03/1978;62.46;1.7
Nat†lia Mendes;15/04/1936;95.64;1.77
Ana L°via Jesus;17/07/2000;79.25;1.41
Laura Duarte;24/06/1993;63.14;2
Jo∆o Vitor Barros;19/12/1903;45.48;1.7
Renan Silva;24/09/1925;111.26;1.66
Evelyn Porto;03/11/1964;109.34;1.86
Mariana Moraes;08/01/1957;128.85;1.9
Cauà Arag∆o;03/03/1923;78.41;1.75
Gabriel Alves;12/07/1979;79.4;1.69
Ot†vio Campos;18/03/1998;140.42;1.82
Ben°cio Sales;02/11/1960;121.24;1.69
Kamilly Pires;28/12/1985;40.93;1.9
Levi Pires;28/01/1945;101.5;1.51
Ben°cio Cardoso;14/12/2002;118.59;1.61
Ana L°via Barros;07/07/1903;55.66;1.47
Lav°nia Monteiro;18/06/1959;121.19;1.77
Alice Carvalho;23/04/1983;102.76;1.81
Luiz Felipe da Costa;12/06/1926;92.7;1.92
Bruna da Mota;01/07/1932;79.08;1.62
Helena Cunha;03/02/1963;88.25;1.78
Pedro Henrique Mendes;29/08/1965;148.53;1.46
Ana Carolina Gomes;24/02/2023;135.87;1.47
Maria Julia Teixeira;21/06/1990;106;1.47
Sabrina das Neves;30/08/1991;115.09;1.93
Ana Luiza Almeida;16/10/1941;108.86;1.61
Eloah Porto;05/12/1938;146.44;1.92
Melissa Peixoto;14/05/1985;128.4;1.5
Maria Clara Viana;08/09/1987;143.32;1.41
Jo∆o Pedro da Cunha;22/03/1926;76.71;1.91
Luiz Gustavo das Neves;07/08/1961;91.25;1.58
Sra. B†rbara Sales;30/01/1934;46.52;1.83
Luiz Felipe Alves;20/03/2000;80.56;1.67
Isaac Caldeira;13/08/1942;72.76;1.45
Ana Luiza Gonáalves;22/09/1908;94.77;1.76
J£lia Melo;30/06/1933;112.64;2.04
Enzo Gabriel Nogueira;19/02/1966;121.29;1.73
Nina das Neves;07/09/1960;122.1;1.78
Dra. Luna Costa;11/12/1998;141.86;1.83
Cauà Sales;20/09/2016;79.1;1.86
Jo∆o Lucas da Luz;17/03/1908;79.17;1.77
Olivia Campos;07/08/1971;104.47;1.88
Davi Lucca Duarte;14/01/1932;69.85;1.72
Valentina Costa;16/11/2008;66.76;1.94
Ana Laura da Cunha;18/05/1956;101.9;1.57
Emanuel Souza;07/12/1951;59.34;1.89
Laura da Luz;07/03/2015;68.56;1.64
Emilly Pinto;20/10/1914;62.14;1.64
Jo∆o Felipe Castro;14/09/1933;134.21;1.61
Cauà Cardoso;18/07/1928;89.3;2.01
Raquel Cavalcanti;30/06/2002;65.19;1.7
Srta. Let°cia Peixoto;12/03/1918;81.31;1.57
Alice Pires;19/06/2000;138.49;1.98
Bryan das Neves;15/09/1938;98.52;1.84
Emanuel Porto;25/04/2014;126.15;1.41
Miguel Silva;25/04/1969;141.25;1.89
Fernanda Costela;19/05/1936;108.93;1.47
Enrico da Mata;19/03/1915;48.51;1.58
Daniela Mendes;17/12/1927;123.21;1.51
Kamilly Martins;31/03/2003;111.3;1.46
Nicole da Mota;22/10/1986;58.48;1.99
Caio Sales;27/08/2006;52.68;1.87
Leonardo Novaes;16/02/1998;104.26;1.97
Elisa Costela;21/04/1914;137.44;1.46
Pedro Miguel Rodrigues;30/05/1934;135.55;1.41
Antìnio Monteiro;16/05/1907;83.33;2.03
Emanuelly Pinto;19/06/1991;122.15;1.43
Isabel Barros;30/11/1959;129.68;1.41
Antìnio Gomes;31/07/2017;62.85;1.87
Bruno Correia;28/08/2004;51.59;2.01
Luiz Ot†vio das Neves;09/05/1936;66.76;2.05
Kamilly Pinto;04/07/1929;127.68;1.59
Alexia Jesus;13/10/1981;147.75;2.1
Joaquim Novaes;24/01/1939;115.73;1.95
Jo∆o Vitor Rodrigues;23/02/1929;136.01;1.79
Alice Ramos;22/02/1958;139.49;1.95
Jo∆o Gabriel Novaes;27/10/1946;70.85;1.94
Luiz Fernando da Mata;11/07/1926;129.1;2.09
L°via Porto;14/11/1966;53.46;1.98
Jo∆o Guilherme Correia;21/11/1900;130.88;1.59
Caroline Alves;24/04/2024;143.57;1.65
Diego Moura;21/06/1957;58.01;1.91
Danilo Silveira;31/05/1938;110.75;1.79
Amanda Ara£jo;02/05/1951;56.1;1.72
Jo∆o Felipe Gonáalves;15/01/1960;53.12;1.85
Ana L°via Carvalho;24/10/1909;147.37;1.99
Paulo Lima;27/01/1964;90.93;1.77
Theo Gomes;17/04/2006;52.79;1.74
Amanda Sales;31/01/1998;72.29;1.42
Maria Eduarda Martins;18/08/1982;91.19;1.44
Luiz Fernando Mendes;22/04/1987;95.73;1.86
Emanuelly Gomes;05/01/1927;111.05;1.41
Mariana Dias;28/07/1990;122.03;1.46
Luiz Miguel Cunha;19/10/1942;139.26;1.92
Melissa Cardoso;03/09/1953;94.06;1.4
Alice Sales;16/03/1914;126.4;1.62
Levi Sales;13/09/1927;114.51;1.51
Yago Ara£jo;21/05/1911;93.28;1.42
Benjamin Viana;05/03/1902;98.18;1.92
Sra. Brenda Lopes;17/09/1993;55.16;1.42
Clarice Nascimento;30/07/1919;64.54;1.76
Davi Lucas Pereira;03/04/1920;77.99;1.96
Isaac Castro;07/10/2009;81.2;1.42
Sra. Sophie Pereira;01/09/1927;50.68;2.09
Vitor Gabriel Lima;11/01/1940;96.81;1.67
Thomas da Paz;14/08/2021;126.57;1.51
Lorenzo Monteiro;19/01/2001;93.87;1.79
Luiz Ot†vio Cunha;25/03/1903;144.86;1.65
Maria Julia Fernandes;22/04/1918;92.35;1.96
Davi Luiz Martins;17/10/1977;74.26;1.44
Stella Costa;16/07/1959;64.58;1.48
Antìnio Ferreira;26/12/1952;112.28;2.09
Dra. Ana Luiza Silva;14/11/1907;98.13;1.43
Ot†vio Vieira;18/09/1923;125.58;1.95
Melissa Rezende;08/08/1957;115.36;1.41
Ana Laura Silva;01/07/1980;88.66;1.55
Mariana Jesus;09/09/2015;96.01;1.48
Maysa Monteiro;01/09/1919;76.68;2.09
Jo∆o Vitor Silva;20/05/1967;41.92;1.42
Sophia Mendes;01/05/1996;89.63;1.75
Sabrina Viana;16/11/1987;130.87;1.95
Cec°lia Nascimento;23/04/1978;57.53;1.88
Mirella Fogaáa;09/10/1989;63.98;2.02
Cau∆ Nogueira;02/06/1941;105.21;1.87
Caio Cunha;17/09/1985;77.59;1.98
Beatriz Silveira;21/08/1954;83.62;1.94
Isabelly Correia;06/05/1977;108.31;1.41
Yago Pinto;22/07/1901;146.03;1.63
Felipe Pires;09/08/2010;61.06;1.51
Bruno da Cunha;13/02/1970;115.69;1.79
Leonardo Ramos;31/01/2006;82.55;1.46
Vinicius da Costa;10/08/1993;115.05;1.92
Pedro Lucas das Neves;15/09/1997;129.45;1.47
Jo∆o Gabriel da Mata;16/02/1942;71.03;2.04
Emanuelly Alves;13/08/1901;57.1;1.79
Dra. Emilly Costa;24/06/2020;124.15;1.65
Ot†vio da Luz;30/12/1983;127.56;1.55
Yago Lima;30/09/2004;113.42;2.02
Dra. Ana Clara Alves;25/08/1930;50.41;1.43
Agatha Melo;17/12/1903;70.27;1.71
Augusto Santos;29/09/1922;118.74;2.04
Alexandre Ferreira;04/08/1955;125.47;2.09
Carlos Eduardo Ramos;07/03/1996;82.95;1.92
Enzo Nascimento;09/05/2009;91.02;2.07
Srta. Mariane Carvalho;03/03/1924;95.95;1.45
Davi Gonáalves;28/04/1950;109.38;1.81
Bianca Novaes;02/12/2019;64.96;1.44
Marcela da Mata;29/12/1986;58.66;1.7
Davi Luiz Correia;04/05/2009;41.97;1.63
Eduarda Lima;09/06/2023;46.5;1.45
Brenda da Costa;13/08/1919;116.91;1.87
Melissa da Cunha;10/10/1944;149.74;1.63
Kaique Caldeira;14/09/1995;58.6;1.77
Amanda Alves;24/04/1955;75.08;1.81
Daniel Freitas;03/02/1971;69.95;1.44
Bryan Moura;17/09/1906;82.55;1.98
Bruno Teixeira;29/06/1909;47.45;1.48
Nicolas Ferreira;22/11/1902;77.05;1.89
Ana Beatriz Nunes;22/09/1916;85.17;1.42
Camila Fogaáa;11/04/1955;129.23;1.81
Melissa Carvalho;29/11/1909;99.17;1.74
Maria Vit¢ria Souza;11/04/2012;49.2;1.62
Thiago Arag∆o;28/06/1997;121.63;1.67
Fernando Ferreira;11/08/1902;73.57;1.49
Isaac Ferreira;30/06/1912;114.78;1.8
Sofia Farias;06/04/2003;90.19;1.86
Jo∆o Felipe Cunha;25/02/2007;105.08;1.57
Elisa Martins;11/11/2003;100.39;1.71
Miguel Caldeira;18/08/1946;100.14;1.79
Laura Lopes;29/06/2022;70.14;1.96
Jo∆o Vitor Lima;21/05/2005;115.69;1.67
Dra. Marcela Souza;25/12/1995;70.54;1.69
Thales Nogueira;02/05/1938;54.18;2.09
Felipe da Rosa;25/05/1956;102.84;1.5
Caio Martins;28/08/1928;112.59;1.88
Bruna da Mota;16/01/1923;64.86;1.85
Raul Monteiro;21/12/2003;61.5;1.7
Levi Cardoso;24/10/1991;55.88;1.97
Enzo Gabriel Campos;14/10/1976;95.79;1.82
Ana Laura Pires;14/09/1991;58.91;1.76
Gustavo Moraes;17/08/1995;49.74;2.01
Luana Fernandes;29/11/2020;122.16;2.06
Alexandre Duarte;08/04/1944;120.67;1.41
Bryan Barros;28/12/2009;51.44;2.06
Samuel Almeida;04/08/2007;146.39;1.92
Let°cia da Mata;03/03/1919;65.46;1.42
Raul Cardoso;19/11/1916;144.41;1.44
Nicole Gonáalves;10/01/1932;80.1;1.99
Marcelo da Costa;11/06/1983;102.48;1.78
Igor da Costa;01/04/1913;132.45;2.08
Nicolas da Mota;24/02/1959;83.72;2.07
Esther Silva;05/05/1919;121.55;1.87
Dra. Maria Julia Gomes;06/11/1971;78.81;1.8
Gabriela Pereira;26/09/2014;79.95;1.8
Isabel Ferreira;08/08/1995;113.79;1.94
Matheus Ara£jo;08/05/1977;106.16;2.04
Francisco Caldeira;18/04/1955;142.03;1.73
Jo∆o Miguel da Mata;26/09/1942;133.44;2.09
Antìnio da Mata;23/09/2013;116.2;1.98
Clara Correia;13/05/1906;72.7;1.44
Sophie Rezende;27/10/1949;127.29;1.91
Eloah Nascimento;29/05/1915;75.96;1.9
Sarah Souza;13/05/1905;100.34;2.06
Maria Clara da Mota;22/10/1983;125.73;2.09
Henrique da Cruz;26/04/1978;99.99;1.84
Fernando da Paz;08/05/1921;87.79;1.41
Al°cia Melo;24/04/1937;134.94;1.56
Eloah da Paz;27/01/1926;116.13;1.56
Sophie Correia;02/10/1926;135.92;1.59
Al°cia Pinto;10/11/1977;143.74;1.95
Paulo da Costa;15/08/1982;62.45;1.64
Maria Eduarda Ara£jo;04/09/1960;127.14;1.62
Pedro Lucas da Conceiá∆o;01/06/1907;87.79;2.02
Luigi Pereira;15/03/1913;62.52;1.7
Anthony Almeida;30/10/1949;125.39;1.45
Samuel Alves;02/07/1985;127.87;1.65
Isis da Mota;16/07/2019;117.29;1.59
Marcelo Teixeira;20/05/1912;47.45;1.95
Elisa Caldeira;02/06/1992;50.81;1.65
Maria Sophia Lima;13/04/1940;54.88;1.67
Caio Gomes;04/03/2001;55.74;1.76
Emanuelly Moreira;06/12/2024;108.35;1.56
Pedro Henrique Vieira;19/09/1971;125.86;1.93
Bruna Arag∆o;12/04/1946;70.76;1.66
Cauà Monteiro;13/10/2008;77.57;1.89
Dra. Mirella Azevedo;28/12/2002;125.48;1.82
Sofia Ferreira;02/01/1948;102.18;1.64
Matheus Sales;02/04/1987;101.06;1.81
Gabriel Teixeira;24/08/1920;47.1;1.75
Pietra da Conceiá∆o;22/11/1952;147.48;1.45
Jo∆o Felipe da Paz;25/07/1958;98.5;1.43
Sra. Maria Fernanda Fogaáa;10/07/1995;113.51;1.89
Bruno Nogueira;01/07/1947;70.27;2.05
Dra. Beatriz Correia;27/09/1989;75.46;1.67
Cauà Rodrigues;13/03/1957;92.65;1.61
Helo°sa Fogaáa;17/05/2011;138.78;1.73
Vinicius Gomes;14/01/1923;109.25;1.56
Thomas Martins;16/06/1914;149.68;1.45
Sra. Amanda Alves;21/12/1939;95.63;1.4
Sarah Azevedo;20/08/2023;58.76;1.94
Mariana Barros;01/10/1978;107.77;1.5
Emanuelly Ferreira;12/05/1939;128.8;1.76
Daniela Pinto;02/09/1928;82.58;1.43
Ana Carolina Sales;27/01/2007;57.64;1.87
Marcelo Rezende;09/10/1984;115.18;1.78
Esther Caldeira;20/08/1966;131.04;1.69
Luiz Fernando da Rocha;20/08/1901;94.85;1.71
Julia Moraes;05/07/2023;72.86;1.91
Mariana Melo;20/06/1951;75.81;1.6
Pietro da Cunha;03/07/1926;66.52;1.81
Daniel Cavalcanti;08/11/1927;94.29;1.94
Gabriel Cardoso;16/10/1923;103.36;1.7
Stephany Fogaáa;25/11/2005;61.58;1.99
Luiz Felipe Alves;07/03/1921;144.83;1.82
Bruno Caldeira;19/05/1981;114.6;1.42
Alana Gomes;07/11/1924;87.45;1.99
Luiz Gustavo Moura;20/01/2023;65.49;1.61
Theo Rocha;22/02/1968;73.26;1.6
Arthur Cavalcanti;11/09/2012;59.95;1.42
Marcela Oliveira;23/07/1945;121.61;1.67
Thiago Moreira;09/10/1953;61.65;2.07
Levi Moura;14/01/2006;144.69;1.9
Jo∆o Felipe Nunes;17/02/1960;126.86;1.57
Juan Campos;15/12/2004;141.63;1.61
Luiz Miguel Pinto;19/07/1993;116.65;1.67
Srta. Sarah Rocha;30/10/1912;147.55;1.61
Maria Alice Jesus;16/04/2005;49.08;1.76
Sra. Raquel Correia;30/07/1994;110.55;1.66
Rodrigo Pinto;23/01/1932;104.73;2
Ana L°via Ferreira;01/06/1972;141.57;1.58
Eduardo da Costa;19/09/1974;60.61;1.65
Manuela Cardoso;26/12/1926;86.79;1.59
Melissa da Luz;11/04/1972;40.17;1.88
Beatriz Viana;27/10/1969;140.28;1.94
Heitor Oliveira;01/03/1925;88.94;1.67
Nina Fogaáa;03/07/1999;81.74;2.09
Marcos Vinicius Barros;22/03/2023;135.04;1.58
Gabriel Moura;08/07/2001;50.65;1.6
Ben°cio Gonáalves;23/11/1975;147.79;1.42
Gustavo Henrique Silveira;05/10/1961;58.87;1.72
Guilherme Ara£jo;19/05/1918;148.44;1.55
Luiz Fernando Novaes;22/02/1963;52.71;1.67
Ana Clara Melo;14/07/1969;146.06;1.9
Mariane da Cunha;01/07/1941;90.24;1.42
Sophia Alves;08/06/1902;103.67;1.46
La°s Silveira;22/03/2012;96.4;1.71
Cauà Castro;13/05/1959;97.18;2.03
Caio Nascimento;14/02/1920;77.24;1.92
Sophie da Cruz;14/11/1951;117.98;1.75
Amanda Rocha;07/02/1905;59.16;1.41
Dra. Kamilly da Rosa;06/09/1951;67.5;1.53
Sofia Correia;09/05/1952;72.07;1.81
Kevin Ramos;18/06/2014;79.68;1.98
Sra. Raquel Martins;24/02/2021;91.13;1.68
Pedro Lucas Cardoso;11/04/2009;106.55;1.95
Bruna Almeida;13/08/1988;86.43;1.57
Sra. Milena Santos;24/03/1960;125.62;1.47
Kamilly da Luz;15/06/1988;65.04;1.74
Gustavo Lopes;13/08/1919;99.28;1.46
Eduardo Teixeira;14/12/2007;114.21;1.63
Dra. Julia Almeida;13/02/1991;40.24;1.91
Juan Barbosa;21/04/1963;82.93;2.03
Isabella Lopes;27/04/1978;133.37;1.76
Pedro Miguel Cunha;28/03/2007;112.28;1.4
Dra. J£lia Ribeiro;04/12/1907;90;1.93
Sra. Emanuelly Rezende;18/03/1994;125.08;1.51
Kamilly Silva;06/03/1922;44.76;1.75
Rafaela Dias;16/06/2006;142.9;1.69
Kevin Rocha;09/01/1935;108.19;2.06
Maria Clara Rezende;03/10/1919;114.35;1.43
Gabrielly Jesus;02/03/1916;100.18;1.79
Nina Nunes;18/06/1961;115.44;1.78
Pedro Lucas Monteiro;07/01/2000;144.6;1.9
Sra. Lara da Paz;24/10/1993;95.65;1.84
Luiz Henrique Souza;15/10/1963;128.62;1.41
Raul Barros;15/11/2008;49.38;2.06
Davi Sales;03/04/1961;128.04;1.79
Luiz Miguel Monteiro;29/10/1965;48.42;1.85
Arthur Nogueira;09/07/1926;139.01;1.53
Camila Peixoto;10/08/1956;56.74;1.93
Maria Luiza Azevedo;26/09/1975;129.08;2.08
Lara da Mata;01/12/1932;148.07;1.53
Anthony Cardoso;25/03/1968;63.17;1.69
Matheus Cardoso;07/03/1966;51.58;1.99
Maria Fernanda Jesus;02/04/1921;53.26;1.47
Carlos Eduardo Caldeira;17/04/1999;125.04;1.8
Antìnio Cardoso;28/01/1902;67.12;1.51
La°s Santos;26/12/2019;71.89;1.46
Thomas Caldeira;09/09/1950;97.41;1.92
La°s Carvalho;26/01/2004;79.51;1.85
Gabrielly Dias;28/11/1974;137.96;1.68
Heitor Almeida;02/12/1967;63.17;1.43
Maria Alice Rodrigues;26/02/1949;85.29;1.82
Davi Lucas Ara£jo;03/02/2011;67.66;1.73
Sra. Catarina Campos;09/03/2009;135.34;2.04
Renan da Cruz;26/06/1929;74.88;1.61
Lara Lima;31/03/2015;97.29;2.07
Luiz Fernando Ferreira;16/07/1936;144.52;2.03
Gustavo Henrique Vieira;13/03/1962;99.57;1.78
Erick Gonáalves;14/03/1949;52.56;1.94
Leandro Vieira;05/02/2020;133.93;1.71
Vitor Gabriel da Rosa;15/03/1947;65.99;1.64
Yuri Nogueira;17/06/1939;130.33;1.62
Helo°sa Silva;22/03/1968;55.21;1.7
Stella Duarte;10/04/1988;45;1.74
Gustavo Rocha;29/01/1964;65.27;1.9
Isabelly Cardoso;12/09/1904;45.23;1.52
Dra. Marcela Souza;11/02/1910;136.47;1.9
Srta. Bruna Costa;30/01/1931;144.48;1.6
Helena Pinto;24/12/1998;76.47;1.75
Helena Pires;21/01/2006;108.94;2
Yuri da Luz;11/07/2019;146.76;1.74
Dra. Emanuella Pinto;11/06/1952;142.55;2.09
Rafaela Arag∆o;31/12/1927;55.74;1.81
B†rbara Cunha;01/05/1928;91.1;1.81
Pedro Miguel Costa;13/05/1942;132.98;1.46
Emanuel Teixeira;02/07/1976;126.28;2.01
Ryan Alves;20/02/1966;75.28;1.97
Jo∆o Lucas Campos;10/09/1940;129.49;1.95
Let°cia Ribeiro;31/12/1994;84.59;1.44
Jo∆o Lucas Porto;19/03/1932;63.71;2
Cec°lia da Luz;27/04/1985;144.81;1.57
Evelyn Pinto;07/11/1957;62.55;1.58
Larissa Pires;11/12/2009;71.94;1.46
Helena Rodrigues;13/09/1998;91.9;1.64
Nat†lia Porto;26/06/1951;114.68;1.46
Al°cia Moraes;18/12/1935;125.97;1.8
Ana Sophia Correia;08/04/1945;98.19;1.58
Guilherme Porto;17/04/1959;120.57;2.05
